POS,PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year
65,"Anirudh Singh
DEC",63,5,4,0,40,15.75,66,95.45,0,0,6,1,2010
66,"Piyush Chawla
PBKS",62,14,6,1,22,12.40,60,103.33,0,0,7,0,2010
67,"Dwayne Bravo
MI",61,10,8,1,23,8.71,53,115.09,0,0,3,4,2010
68,"Abhishek Nayar
MI",58,3,3,1,27,29.00,51,113.72,0,0,4,2,2010
69,"Abhishek Raut
RR",56,6,5,3,32*,28.00,48,116.66,0,0,3,3,2010
70,"Aditya Tare
MI",50,7,4,0,23,12.50,36,138.88,0,0,5,3,2010
71,"Cameron White
RCB",48,7,5,3,21*,24.00,33,145.45,0,0,3,3,2010
72,"Ryan Harris
DEC",45,8,5,1,15,11.25,39,115.38,0,0,2,2,2010
73,"Graeme Smith
RR",44,2,2,0,26,22.00,39,112.82,0,0,7,0,2010
74,"Tillakaratne Dilshan
DC",44,6,6,0,17,7.33,53,83.01,0,0,6,0,2010
75,"Adrian Barath
PBKS",42,3,3,1,33,21.00,42,100.00,0,0,5,1,2010
76,"Ajit Agarkar
KKR",40,7,4,3,17,40.00,29,137.93,0,0,4,0,2010
77,"Amit Mishra
DC",39,14,7,3,12,9.75,51,76.47,0,0,1,0,2010
78,"Michael Hussey
CSK",37,3,3,1,15,18.50,44,84.09,0,0,2,0,2010
79,"Laxmi Ratan Shukla
KKR",36,4,2,0,19,18.00,26,138.46,0,0,3,2,2010
80,"Bodapati Sumanth
DEC",35,5,4,3,16,35.00,37,94.59,0,0,3,0,2010
81,"Eoin Morgan
RCB",35,6,4,1,17,11.66,30,116.66,0,0,2,1,2010
82,"Aditya Dole
RR",34,3,2,0,30,17.00,22,154.54,0,0,3,1,2010
83,"Venugopal Rao
DEC",34,6,5,1,24,8.50,43,79.06,0,0,3,1,2010
84,"Daniel Vettori
DC",33,3,3,2,19*,33.00,27,122.22,0,0,4,0,2010
85,"Sanath Jayasuriya
MI",33,4,4,0,23,8.25,31,106.45,0,0,4,1,2010
86,"MF Maharoof
DC",31,7,4,1,28,10.33,23,134.78,0,0,2,2,2010
87,"Chaminda Vaas
DEC",30,6,5,1,16,7.50,34,88.23,0,0,1,1,2010
88,"Ravichandran Ashwin
CSK",30,12,6,2,11*,7.50,40,75.00,0,0,2,0,2010
89,"Rahul Sharma
DEC",29,6,4,1,14*,9.66,26,111.53,0,0,3,1,2010
90,"Mitchell Marsh
DEC",28,3,2,0,15,14.00,30,93.33,0,0,1,1,2010
91,"Mohammad Kaif
PBKS",28,4,3,0,14,9.33,30,93.33,0,0,2,0,2010
92,"Sridharan Sriram
RCB",27,1,1,0,27,27.00,29,93.10,0,0,3,0,2010
93,"Shanthakumaran Sreesanth
PBKS",27,6,3,3,15*,0.00,21,128.57,0,0,5,0,2010
94,"Vinay Kumar
RCB",27,14,5,1,10*,6.75,32,84.37,0,0,1,0,2010
95,"JM Kemp
CSK",26,5,2,0,22,13.00,24,108.33,0,0,1,1,2010
96,"Rajat Bhatia
DC",24,5,3,0,21,8.00,17,141.17,0,0,1,2,2010
97,"Zaheer Khan
MI",24,14,4,3,23*,24.00,13,184.61,0,0,3,1,2010
98,"Ashish Nehra
DC",23,4,2,1,22*,23.00,20,115.00,0,0,2,1,2010
99,"Dwayne Smith
DEC",22,3,3,1,13*,11.00,25,88.00,0,0,1,1,2010
100,"Murali Kartik
KKR",22,10,2,0,21,11.00,22,100.00,0,0,2,0,2010
101,"Aaron Finch
RR",21,1,1,0,21,21.00,21,100.00,0,0,0,1,2010
102,"Siddharth Trivedi
RR",20,11,4,2,9,10.00,14,142.85,0,0,3,1,2010
103,"Damien Martyn
RR",19,1,1,0,19,19.00,24,79.16,0,0,1,0,2010
104,"George Bailey
CSK",18,1,1,0,18,18.00,27,66.66,0,0,2,0,2010
105,"Karan Goel
PBKS",18,6,2,1,17*,18.00,20,90.00,0,0,1,1,2010
106,"Lakshmipathy Balaji
CSK",18,7,3,1,15,9.00,20,90.00,0,0,1,1,2010
107,"Doug Bollinger
CSK",18,8,2,2,16*,0.00,17,105.88,0,0,1,1,2010
108,"Chandan Madan
MI",15,1,1,0,15,15.00,19,78.94,0,0,3,0,2010
109,"Sumit Narwal
RR",14,5,3,1,12,7.00,12,116.66,0,0,2,0,2010
110,"Mark Boucher
RCB",13,5,2,1,11*,13.00,10,130.00,0,0,0,1,2010
111,"Dale Steyn
RCB",13,15,4,0,8,3.25,17,76.47,0,0,2,0,2010
112,"Dimitri Mascarenhas
RR",12,2,2,1,9*,12.00,10,120.00,0,0,0,0,2010
113,"Shaun Tait
RR",12,8,2,1,11,12.00,13,92.30,0,0,0,1,2010
114,"Moises Henriques
DC",11,1,1,0,11,11.00,5,220.00,0,0,2,0,2010
115,"Brett Lee
PBKS",11,4,3,2,7*,11.00,9,122.22,0,0,1,0,2010
116,"Kemar Roach
DEC",10,2,1,0,10,10.00,9,111.11,0,0,1,0,2010
117,"Thilan Thushara
CSK",10,4,2,1,8,10.00,11,90.90,0,0,0,0,2010
118,"Pradeep Sangwan
DC",10,8,2,1,6*,10.00,14,71.42,0,0,0,0,2010
119,"Shane Warne
RR",10,14,7,2,4,2.00,19,52.63,0,0,0,0,2010
120,"Morne Morkel
RR",9,2,2,1,7*,9.00,16,56.25,0,0,1,0,2010
121,"Bipul Sharma
PBKS",9,5,2,2,8*,0.00,7,128.57,0,0,1,0,2010
122,"RP Singh
DEC",9,12,5,3,4*,4.50,19,47.36,0,0,0,0,2010
123,"Shreevats Goswami
RCB",8,1,1,0,8,8.00,10,80.00,0,0,2,0,2010
124,"Stuart Binny
MI",8,1,1,0,8,8.00,5,160.00,0,0,1,0,2010
125,"Jaskaran Singh
DEC",8,6,4,3,4*,8.00,11,72.72,0,0,0,0,2010
126,"Vikramjeet Malik
PBKS",6,3,1,0,6,6.00,5,120.00,0,0,1,0,2010
127,"Ishant Sharma
KKR",6,7,2,1,6*,6.00,17,35.29,0,0,0,0,2010
128,"Anil Kumble
RCB",6,16,5,5,2*,0.00,11,54.54,0,0,0,0,2010
129,"Abhimanyu Mithun
RCB",5,1,1,0,5,5.00,4,125.00,0,0,1,0,2010
130,"Swapnil Asnodkar
RR",5,2,2,0,5,2.50,4,125.00,0,0,1,0,2010
131,"Ramesh Powar
PBKS",5,7,2,1,3,5.00,8,62.50,0,0,0,0,2010
132,"Amit Uniyal
RR",4,2,2,1,4*,4.00,7,57.14,0,0,0,0,2010
133,"Reetinder Sodhi
PBKS",4,3,1,1,4*,0.00,2,200.00,0,0,1,0,2010
134,"Munaf Patel
RR",4,4,2,1,4*,4.00,5,80.00,0,0,0,0,2010
135,"Dirk Nannes
DC",4,9,2,1,3,4.00,13,30.76,0,0,0,0,2010
136,"Praveen Kumar
RCB",4,12,4,2,3*,2.00,8,50.00,0,0,0,0,2010
137,"Arun Karthik
CSK",3,1,1,1,3*,0.00,5,60.00,0,0,0,0,2010
138,"Sudeep Tyagi
CSK",3,6,1,1,3*,0.00,4,75.00,0,0,0,0,2010
139,"Umesh Yadav
DC",3,7,1,1,3*,0.00,4,75.00,0,0,0,0,2010
140,"Pragyan Ojha
DEC",3,16,6,3,2,1.00,8,37.50,0,0,0,0,2010
141,"Azhar Bilakhia
DEC",2,1,1,0,2,2.00,4,50.00,0,0,0,0,2010
142,"KP Appanna
RCB",2,2,2,1,1*,2.00,3,66.66,0,0,0,0,2010
143,"Rohan Gavaskar
KKR",2,2,1,0,2,2.00,8,25.00,0,0,0,0,2010
144,"Manpreet Gony
CSK",2,3,1,0,2,2.00,6,33.33,0,0,0,0,2010
145,"Dilhara Fernando
MI",2,5,1,1,2*,0.00,2,100.00,0,0,0,0,2010
146,"Juan Theron
PBKS",2,7,2,0,2,1.00,5,40.00,0,0,0,0,2010
147,"Roelof van der Merwe
RCB",1,1,1,0,1,1.00,2,50.00,0,0,0,0,2010
148,"Ajantha Mendis
KKR",1,2,1,1,1*,0.00,1,100.00,0,0,0,0,2010
149,"Pankaj Singh
RCB",1,2,1,0,1,1.00,2,50.00,0,0,0,0,2010
150,"Shalabh Srivastava
PBKS",1,8,2,1,1*,1.00,2,50.00,0,0,0,0,2010
151,"Shane Bond
KKR",1,8,1,0,1,1.00,2,50.00,0,0,0,0,2010
152,"Muttiah Muralitharan
CSK",1,12,1,0,1,1.00,2,50.00,0,0,0,0,2010
153,"Lasith Malinga
MI",1,13,2,2,1*,0.00,1,100.00,0,0,0,0,2010
